'Date Rptd','DATE OCC',Mocodes,'Vict Age','Vict Sex','Vict Descent','Premis Cd','Weapon Used Cd',Status,'Crm Cd'
'12/21/21 0:00','12/20/21 0:00','0913 0553 0400',13,M,H,502,301,AA,7
'8/17/20 0:00','7/27/20 0:00',329,60,M,W,707,400,AO,8
'9/30/21 0:00','9/30/21 0:00','1822 0344 1605 1402',36,M,W,501,400,AO,3
'7/31/21 0:00','7/26/21 0:00',344,36,M,H,101,400,IC,4
'8/22/21 0:00','8/22/21 0:00','2033 1309 0342 0326 0445 1270 0406 0906 0344 0416',20,M,H,101,304,IC,2
'9/23/23 0:00','9/23/23 0:00','0913 0400 0500 0522',21,F,A,203,400,IC,9
'3/18/20 0:00','3/18/20 0:00',344,36,M,H,101,400,IC,5
'2/9/23 0:00','2/8/23 0:00',344,36,M,H,101,400,IC,4
'3/20/20 0:00','3/16/20 0:00','1317 0416 0356 1822',71,M,W,101,400,IC,7
'5/3/22 0:00','5/1/22 0:00','0329 1300',39,M,W,502,400,IC,8
'2/25/20 0:00','2/25/20 0:00','0416 0448 0312 0334 0302 0337 0344 0432',30,M,H,102,102,IC,2
'1/22/24 0:00','1/12/23 0:00','0940 1814 2002 1206 0510 0533 0526 0512 0500 0516',13,F,B,501,400,IC,9
'9/10/20 0:00','9/10/20 0:00',1906,34,F,B,501,400,AO,10
'11/16/23 0:00','3/8/23 0:00',344,26,M,W,138,400,IC,5
'7/4/21 0:00','7/4/21 0:00','1402 1822 1407 1414 1100',36,M,W,101,107,IC,8
'10/4/22 0:00','10/4/22 0:00',344,36,M,H,101,400,AA,5
'2/13/23 0:00','1/5/23 0:00','0930 1822',45,M,H,501,400,IC,3
'10/25/20 0:00','10/25/20 0:00','0602 0913 0444 0429 0400 0554',20,M,A,501,400,IC,7
'6/18/21 0:00','6/18/21 0:00','0913 0361 0603 0421',30,F,B,101,511,AO,10
'1/3/23 0:00','1/2/23 0:00',344,36,M,H,101,400,IC,5
'2/14/22 0:00','2/13/22 0:00','1822 0344 1606',53,M,B,101,400,IC,4
'11/13/22 0:00','11/13/22 0:00',2038,17,F,O,502,400,IC,10
'8/2/21 0:00','8/1/21 0:00',344,36,M,H,104,400,IC,5
'5/23/24 0:00','4/25/24 0:00',929,60,M,H,502,400,IC,3
'9/19/23 0:00','9/19/23 0:00','2000 1814 0416 1309 2033',22,F,H,101,400,IC,7
'7/4/22 0:00','7/2/22 0:00','0334 0400 1252 0359 0353 1822 2004 0445',39,M,H,101,201,AA,2
'8/30/21 0:00','8/17/21 0:00',325,50,M,W,405,400,IC,4
'3/15/22 0:00','3/15/22 0:00','0334 0344 1822 0449',55,M,H,102,207,IC,2
'10/12/23 0:00','10/12/23 0:00','1822 0344 0416 0400 0340 0446 1206 0342',28,M,B,102,400,IC,2
'2/3/21 0:00','3/1/20 0:00','0100 1202',61,F,W,502,400,IC,3
'5/8/22 0:00','5/7/22 0:00','0947 0344',34,M,H,501,400,IC,3
'2/2/22 0:00','11/1/21 0:00','0913 0344 1820',39,F,A,502,400,AO,4
'6/23/21 0:00','6/21/21 0:00','2000 1813 0421 2038 2004',33,F,H,101,511,AA,10
'11/20/20 0:00','11/20/20 0:00','0913 0408 0449 1814 2000 0329',31,F,W,502,400,AA,2
'6/24/20 0:00','6/24/20 0:00','0416 1822',26,M,H,501,500,IC,7
'9/1/24 0:00','8/30/24 0:00','2038 0913',35,M,W,502,400,IC,10
'9/30/23 0:00','9/30/23 0:00','0344 1822',26,F,O,203,400,IC,3
'2/3/24 0:00','2/1/24 0:00',344,36,M,H,101,400,IC,4
'5/26/23 0:00','5/26/23 0:00','1402 1822 1501 0344',36,M,H,406,400,IC,7
'2/22/22 0:00','2/22/22 0:00','0334 0344 0385',22,F,W,104,400,IC,3
'8/1/23 0:00','8/1/23 0:00',1822,35,F,H,502,400,IC,3
'4/23/21 0:00','4/23/21 0:00',344,36,M,H,101,400,AA,5
'6/15/21 0:00','6/15/21 0:00','1822 0305 0522',60,F,H,101,400,IC,9
'7/9/23 0:00','7/9/23 0:00','0329 1822 1307',35,M,W,122,400,IC,8
'12/19/23 0:00','12/7/23 0:00','0100 1822 0344 0928',33,M,B,501,400,IC,3
'9/7/20 0:00','9/7/20 0:00','0913 2000 1814 0416 1218 0417',27,F,H,502,400,AA,7
'12/5/23 0:00','12/5/23 0:00',344,36,M,H,108,400,IC,5
'3/23/21 0:00','3/23/21 0:00',329,36,M,O,210,400,IC,8
'1/17/23 0:00','11/17/22 0:00',344,34,M,H,501,400,IC,3
'9/22/23 0:00','9/11/23 0:00','1601 0344 0329 1210',42,F,H,101,400,IC,3
'1/17/23 0:00','12/23/22 0:00','1607 0344',36,M,O,108,400,IC,3
'1/2/20 0:00','1/2/20 0:00','1300 0329',19,M,H,122,400,IC,8
'9/28/20 0:00','9/25/20 0:00',344,36,M,H,101,400,IC,5
'8/14/22 0:00','8/14/22 0:00',1501,34,M,B,502,400,AO,10
'2/6/24 0:00','2/1/24 0:00','0344 0358 0321 0386 1822',36,M,O,101,400,IC,3
'2/27/20 0:00','2/27/20 0:00','0330 0344 0355 0449 1822 1310 1300 0342 0334 0916',43,M,H,104,109,IC,2
'12/28/21 0:00','12/28/21 0:00','2000 1813 0416 0408 0444 0913',33,F,O,502,400,AA,2
'11/15/20 0:00','9/8/20 0:00','0344 0394 1822',30,F,W,502,400,IC,3
'5/14/23 0:00','5/14/23 0:00','0400 2038 2000 0444 0913 1814',28,F,H,501,400,AO,7
'4/20/20 0:00','4/19/20 0:00','2000 0416 0446 1243 1813',54,M,B,505,400,AO,7
'1/20/24 0:00','1/19/24 0:00','0400 2000',32,F,B,502,400,AO,7
'6/24/22 0:00','6/24/22 0:00','0903 1516 2055 1202 0416 0400 2035 1701 0910',88,F,H,801,400,IC,7
'9/5/22 0:00','9/5/22 0:00','0325 0104 0342 1309 1402 2028 0378 1412 0913',21,M,H,203,400,AO,4
'4/6/22 0:00','4/5/22 0:00',344,36,M,H,101,400,IC,4
'9/17/20 0:00','9/17/20 0:00','1701 0913 1818 1202 1238 0400',50,F,W,501,400,AO,7
'11/29/20 0:00','11/29/20 0:00','2000 0913 1814 1309 1310 1311 0429',39,F,H,108,400,AO,7
'4/17/23 0:00','4/16/23 0:00','1822 0342 0337 0305 0449 0377 0344 0400',54,M,H,102,400,IC,2
'1/5/20 0:00','1/5/20 0:00',344,42,M,W,101,400,IC,4
'12/31/21 0:00','12/31/21 0:00','0447 0104 1236 0334 0445 1822',19,F,H,710,500,IC,7
'12/20/20 0:00','12/20/20 0:00','2000 0444 1814 1813',59,M,H,502,400,IC,7
'7/23/23 0:00','7/22/23 0:00',344,50,M,W,716,400,IC,3
'12/28/20 0:00','12/28/20 0:00',344,36,M,H,101,400,IC,5
'7/16/21 0:00','7/15/21 0:00','0344 1822',56,M,H,102,400,IC,5
'4/29/22 0:00','4/25/22 0:00','0209 0202 1822 0325',36,M,H,207,400,IC,3
'8/5/22 0:00','7/29/22 0:00',344,47,F,O,104,400,IC,3
'7/10/24 0:00','7/3/24 0:00','1822 0344',39,M,H,101,400,IC,4
'10/14/23 0:00','8/21/23 0:00','1822 0442 0701',38,F,H,212,500,AA,10
'2/27/21 0:00','2/27/21 0:00','1822 0929',36,F,H,501,400,IC,3
