'Date Rptd','DATE OCC',Mocodes,'Vict Age','Vict Sex','Vict Descent','Premis Cd','Weapon Used Cd',Status,'Crm Cd'
'5/14/24 0:00','5/13/23 0:00',344,36,M,H,101,400,IC,5
'1/16/24 0:00','1/15/24 0:00',344,36,M,H,101,400,IC,5
'4/9/20 0:00','4/9/20 0:00',344,36,M,H,101,400,IC,5
'6/16/20 0:00','6/16/20 0:00',344,36,M,H,101,400,IC,4
'6/5/24 0:00','5/30/24 0:00',329,37,M,H,122,400,IC,8
'2/17/22 0:00','12/27/21 0:00','2000 0913 1813 0400 0401 0444 0527 0516 0501 0519',55,F,H,501,400,AO,1
'11/10/21 0:00','11/9/21 0:00',344,36,M,H,101,400,IC,5
'5/9/23 0:00','5/6/23 0:00','1822 1300 0344',41,F,H,101,400,IC,3
'7/4/22 0:00','7/3/22 0:00','0100 0930',59,M,B,750,400,IC,3
'10/11/22 0:00','10/10/22 0:00',344,36,M,H,101,400,IC,5
'9/8/21 0:00','9/8/21 0:00',344,36,M,H,101,400,IC,5
'2/11/21 0:00','2/11/21 0:00','1822 0342 0344 1309 0334 0346 0352 0443 0605',33,F,B,108,219,IC,2
'1/12/24 0:00','1/12/24 0:00','2000 0446',48,F,H,501,400,IC,7
'4/11/21 0:00','4/11/21 0:00',431,50,F,B,102,500,IC,7
'2/2/23 0:00','2/2/23 0:00',325,36,M,O,401,400,IC,4
'8/30/23 0:00','8/30/23 0:00',344,30,F,W,501,400,IC,3
'7/26/20 0:00','7/26/20 0:00','0329 1300',30,M,H,122,400,IC,8
'12/31/21 0:00','12/31/21 0:00','0411 0913',26,F,B,108,312,IC,2
'1/5/21 0:00','1/5/21 0:00','1822 0443 0403',36,M,O,121,511,IC,8
'3/19/23 0:00','3/19/23 0:00','0344 0352 1609 0321 1402',39,F,W,501,400,IC,3
'3/30/22 0:00','2/25/20 0:00',344,24,M,H,502,400,IC,3
'6/8/20 0:00','2/8/20 0:00','0344 1822',43,F,B,221,400,IC,3
'2/9/24 0:00','2/4/24 0:00',325,35,M,H,409,400,IC,4
'12/1/20 0:00','12/1/20 0:00','1822 0400',28,M,H,403,500,IC,7
'7/20/20 0:00','7/19/20 0:00','2024 0913 1815 0444 0429',26,M,O,501,400,JO,7
'2/23/24 0:00','2/23/24 0:00','1609 0344 0321 1402',36,M,W,213,400,IC,3
'1/1/22 0:00','12/31/21 0:00',344,25,F,W,108,400,IC,3
'7/5/21 0:00','7/5/21 0:00','1822 1402 1407 1419 1300 1100',36,M,H,101,109,AA,8
'12/26/20 0:00','12/14/20 0:00','0100 1822 0928 0929',49,F,C,501,400,IC,3
'12/17/23 0:00','12/16/23 0:00','0416 0913',21,M,H,109,400,IC,7
'4/1/24 0:00','3/31/24 0:00',344,36,M,H,101,400,IC,5
'10/7/20 0:00','10/7/20 0:00','0416 0446 0603',50,F,H,502,400,AO,7
'7/2/23 0:00','7/2/23 0:00','2000 1243 1813 0416 0446 0448 0444 0913',25,F,H,502,400,AA,7
'2/16/24 0:00','2/12/24 0:00','1822 0342 0104 0325 1309',23,M,H,202,400,IC,4
'11/27/21 0:00','11/25/21 0:00','0913 1813 0408 0400 2000',33,F,H,502,400,IC,7
'6/22/21 0:00','6/22/21 0:00',329,39,M,W,108,400,AA,8
'9/23/20 0:00','9/23/20 0:00','2000 1218 0356 1813 0913 2004',24,M,H,101,400,IC,7
'11/23/21 0:00','11/23/21 0:00',416,24,M,O,101,200,IC,7
'1/16/24 0:00','1/16/24 0:00','0913 0602',46,M,O,501,500,IC,2
'9/1/22 0:00','9/1/22 0:00','0922 1822',44,F,H,501,400,IC,3
'2/28/24 0:00','2/23/24 0:00','0325 1822 0344',36,M,H,102,400,IC,3
'5/5/22 0:00','5/4/22 0:00',344,36,M,H,101,400,IC,5
'8/20/21 0:00','8/20/21 0:00','1606 1414 1602 0344 1822',39,M,O,502,400,IC,3
'10/3/23 0:00','10/2/23 0:00',344,36,M,H,101,400,IC,5
'1/2/24 0:00','1/2/24 0:00','0397 0344 0352 1602 1300 0216 0209',50,M,W,221,400,IC,3
'1/9/22 0:00','1/9/22 0:00',344,36,M,H,101,400,IC,5
'8/9/20 0:00','8/9/20 0:00','0913 1810 0603 1402 1409',20,F,B,518,506,AA,2
'11/27/21 0:00','11/27/21 0:00','1822 0344',34,F,H,212,400,IC,3
'2/15/24 0:00','7/7/23 0:00','0935 1822',33,F,W,501,400,AA,3
'2/26/24 0:00','2/23/24 0:00','0377 1402',26,F,H,101,400,IC,7
'6/22/22 0:00','6/22/22 0:00','2004 0416 1218 1822',23,M,H,101,312,IC,2
'7/15/22 0:00','7/15/22 0:00','2038 2004 1300 1814',31,F,H,501,400,IC,10
'3/4/24 0:00','3/4/24 0:00',528,44,F,O,103,400,IC,8
'2/24/23 0:00','2/24/22 0:00','1822 0522 0400 1501',33,F,W,502,400,IC,1
'5/2/22 0:00','4/30/22 0:00',344,39,M,B,502,400,IC,3
'9/29/23 0:00','9/29/23 0:00','0913 0416 0446 0417 0445',29,M,B,301,500,IC,2
'4/27/22 0:00','4/26/22 0:00','0344 1302',41,M,H,102,400,IC,5
'2/17/24 0:00','2/17/24 0:00','0325 0344',27,M,H,205,400,IC,3
'2/18/24 0:00','2/16/24 0:00',344,36,M,H,101,400,IC,4
'6/7/23 0:00','6/6/23 0:00','0344 1822',29,F,W,101,400,IC,3
'8/26/21 0:00','8/24/21 0:00','0344 0385 1601 0329 1822',28,F,W,101,400,IC,3
