'Date Rptd','DATE OCC',Mocodes,'Vict Age','Vict Sex','Vict Descent','Premis Cd','Weapon Used Cd',Status,'Crm Cd'
'11/21/23 0:00','11/21/23 0:00','0400 0416 2004',34,M,B,517,400,IC,7
'11/25/21 0:00','11/25/21 0:00','0444 0429 0913 0361 0603',38,M,H,222,400,AO,7
'3/3/23 0:00','3/3/23 0:00','0329 1822 1307',35,M,B,122,400,IC,8
'11/9/20 0:00','11/8/20 0:00','0344 0358 1307',39,M,W,123,400,IC,3
'8/6/23 0:00','8/5/23 0:00','1822 0400 0444',40,M,H,502,500,IC,7
'1/10/21 0:00','1/10/21 0:00','1310 1309 1822 0319 0443 0444 0605',53,M,H,108,400,AO,7
'7/17/20 0:00','7/17/20 0:00','0400 0416 1822',51,M,H,102,400,AO,7
'10/2/22 0:00','10/1/22 0:00',344,36,M,H,101,400,IC,4
'5/2/21 0:00','5/2/21 0:00','1822 0919 1100 1402 1407 1309 1300 0450',19,M,H,101,107,IC,2
'8/8/23 0:00','8/8/23 0:00','0344 0355 0342 2002 0315 0906',36,M,H,210,400,JA,4
'4/30/21 0:00','4/30/21 0:00',329,43,F,A,122,400,IC,8
'7/20/22 0:00','7/20/22 0:00','0344 1307 1609 1822 0329',24,M,W,101,400,IC,3
'10/10/23 0:00','10/9/23 0:00',329,36,M,H,213,400,IC,8
'11/4/21 0:00','11/3/21 0:00',344,36,M,H,101,400,IC,4
'9/28/22 0:00','9/28/22 0:00','2000 0913 1814 1906 2038',45,M,A,501,400,IC,10
'5/10/21 0:00','4/15/21 0:00','1822 0344',72,M,W,102,400,IC,3
'8/8/22 0:00','8/8/22 0:00','0444 0429',35,F,A,228,400,IC,7
'3/6/20 0:00','3/4/20 0:00',344,34,F,H,101,400,IC,4
'9/26/20 0:00','9/25/20 0:00',344,43,M,H,502,400,IC,3
'6/8/20 0:00','6/6/20 0:00',344,31,M,W,101,400,IC,3
'3/28/24 0:00','3/12/24 0:00',329,41,F,O,504,400,IC,8
'3/26/24 0:00','3/26/24 0:00',325,23,M,H,203,400,AA,4
'8/19/21 0:00','8/19/21 0:00','0432 0361 0334 0603 0913 0421',39,M,H,101,201,AA,8
'9/24/22 0:00','9/23/22 0:00',344,36,M,H,101,400,IC,5
'12/22/22 0:00','11/15/22 0:00','1822 0344',36,M,H,405,400,IC,7
'3/16/23 0:00','3/16/23 0:00','0906 0913 0416 0371 1270 1805 0421 2004',51,M,H,101,215,AO,2
'1/6/20 0:00','1/3/20 0:00',329,36,M,H,710,400,IC,8
'7/22/23 0:00','7/22/23 0:00','0447 0342 1822 1300',28,F,W,108,400,IC,7
'1/19/22 0:00','1/19/22 0:00',344,36,M,O,108,400,IC,4
'3/13/21 0:00','3/13/21 0:00','0913 1309 0448 0444',45,F,B,501,400,IC,7
'5/23/24 0:00','5/23/24 0:00',344,36,M,H,101,400,IC,5
'10/24/23 0:00','9/29/23 0:00',344,44,F,W,717,400,IC,3
